preprocess,model,depth,horizon_ms,accuracy,f1_macro,f1_weighted,mcc,precision,recall,training_time,inference_time_ms,n_samples,f1_class_0,f1_class_1,f1_class_2
ma,catboost,5,1000,0.6571571571571572,0.4389690389055238,0.6547908810725253,0.3231887982869424,0.4404823019916018,0.44162357330836405,0.38458895683288574,0.007947405298670253,1998,0.6479750778816199,0.0,0.6689320388349514
ma,catboost,5,5000,0.5467336683417086,0.3121809491155279,0.47975998013658194,0.07244372550680166,0.36693214954084513,0.3505246852979034,0.4437088966369629,0.008185424996380829,1990,0.6729514140681654,0.0,0.26359143327841844
ma,catboost,5,10000,0.5686868686868687,0.31653010167779844,0.49748721463759676,0.08910057700204599,0.3768797953964194,0.3535290181434907,0.39291906356811523,0.007813627069646662,1980,0.6971631205673758,0.0,0.2524271844660194
ma,catboost,10,100,0.8035,0.5520351119070303,0.7784685076710887,0.6326607594158834,0.5352695154399045,0.569898913214775,0.4056079387664795,0.007673978805541991,2000,0.8378245957863792,0.0,0.8182807399347116
ma,catboost,10,500,0.7508754377188595,0.5047431249072366,0.7447556995214101,0.5135739714044565,0.5017415230720882,0.5102165351266365,0.41384410858154297,0.007992926211640978,1999,0.7597989949748744,0.0,0.7544303797468355
ma,catboost,10,1000,0.6626626626626627,0.4422121788792623,0.6593706383346756,0.3377106116164705,0.4460319216052569,0.4458489687150495,0.4632401466369629,0.009235199745949564,1998,0.6454013822434875,0.0,0.6812351543942993
ma,catboost,10,5000,0.5417085427135678,0.2987884436160298,0.46124227849405464,0.05805952226058998,0.36267027497095833,0.34595005126862577,0.39760279655456543,0.007946287567292027,1990,0.6756756756756757,0.0,0.2206896551724138
ma,catboost,10,10000,0.5373737373737374,0.2687800306771517,0.43277474649691494,-0.02641228213187943,0.3163470319634703,0.3285611757730833,0.3722529411315918,0.007890330420600042,1980,0.6863013698630137,0.0,0.12003872216844143
ma,catboost,20,100,0.805,0.5531063188353911,0.779990344975658,0.6358398488938942,0.5362502398771829,0.5711854171970275,0.3809070587158203,0.007608890533447266,2000,0.8396645288603848,0.0,0.8196544276457883
ma,catboost,20,500,0.7568784392196098,0.5086833176611901,0.7507911353547772,0.5230695683974479,0.504755431155532,0.5136495483013953,0.37653112411499023,0.007843959325549005,1999,0.769990128331688,0.0,0.7560598246518824
ma,catboost,20,1000,0.6531531531531531,0.43624321017532536,0.6506813308347069,0.31558553156746233,0.4379933024919474,0.43900841532302876,0.380023717880249,0.007614717111215219,1998,0.6427083333333333,0.0,0.6660212971926428
ma,catboost,20,5000,0.5346733668341709,0.2949871609637199,0.45554936538697705,0.03664495735348404,0.3506071769682085,0.34144223007613933,0.3729438781738281,0.007852717260619504,1990,0.6697607997143877,0.0,0.215200683176772
ma,catboost,20,10000,0.5494949494949495,0.28165229605760983,0.4506844996604908,0.020303634202206027,0.3449035812672176,0.3371461360571106,0.3703172206878662,0.007720065839362867,1980,0.6934707903780069,0.0,0.15148609779482264
ma,catboost,40,100,0.8075,0.5547876954819347,0.7823990908771189,0.640489637819159,0.537890464730188,0.5728655247239093,0.3783681392669678,0.007535457611083984,2000,0.8429345150172329,0.0,0.8214285714285714
ma,catboost,40,500,0.752376188094047,0.5057233824039834,0.7463164605598379,0.5155447774304959,0.502316470788622,0.5109668581391366,0.37952303886413574,0.0076519363578884175,1999,0.7634730538922155,0.0,0.7536970933197348
ma,catboost,40,1000,0.6506506506506506,0.4346942820667876,0.6484820332325877,0.30950914047022576,0.4358038153196899,0.43712862273863323,0.38912320137023926,0.0074714034407943105,1998,0.643595041322314,0.0,0.6604878048780488
ma,catboost,40,5000,0.5422110552763819,0.2971309586459849,0.4590341602101288,0.05973630057770056,0.3641998336890493,0.3460441346510461,0.3694889545440674,0.007781431303551449,1990,0.6772936592277718,0.0,0.21409921671018275
